feedback_id,order_id,customer_id,rating,feedback_text,feedback_category,sentiment,feedback_date
2400571,1000018440,44981,4,Great prices and fast delivery!,App Experience,Positive,2023-04-01
3093140,1000013344,81121,4,"Average experience, could improve.",App Experience,Neutral,2023-05-24
9407783,1000016725,35750,4,The product met my expectations.,App Experience,Neutral,2024-02-02
1180902,1000013050,90217,4,"It was okay, nothing special.",App Experience,Neutral,2024-06-17
6888502,1000016600,79887,3,"Delivery was fine, but the product could be better.",Product Quality,Neutral,2023-08-03
8679241,1000019261,41419,4,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral,2024-01-19
7512781,1000012979,16740,3,The order was incorrect.,Product Quality,Negative,2024-01-07
5356601,1000000894,68918,4,"Average experience, could improve.",Customer Service,Neutral,2024-11-04
9043273,1000000697,69558,4,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,2024-08-18
3470106,1000014716,60346,4,"Delivery was fine, but the product could be better.",Delivery,Neutral,2023-10-07
5957700,1000007744,17179,4,"Nothing to complain about, but nothing exceptional.",App Experience,Neutral,2024-09-29
8956798,1000007527,93023,5,"Excellent quality, will buy again!",Delivery,Positive,2024-09-04
4843776,1000011335,12980,4,"Average experience, could improve.",Product Quality,Neutral,2023-09-16
8241448,1000008820,78558,3,Product was damaged during delivery.,Customer Service,Negative,2023-09-23
1664531,1000010539,73383,3,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,2023-05-19
4940244,1000006695,85707,5,Will definitely order again.,App Experience,Positive,2023-11-09
7165598,1000019176,10652,3,The packaging was poor.,App Experience,Negative,2024-07-17
4424806,1000011581,68052,4,Good selection of products.,Customer Service,Positive,2024-03-04
2074845,1000007671,56324,1,Delivery was late and I was unhappy.,Delivery,Negative,2023-10-11
417728,1000014693,87516,4,"It was okay, nothing special.",Customer Service,Neutral,2024-06-22
5642561,1000007595,83517,4,"Overall good experience, thank you!",App Experience,Positive,2024-09-05
261554,1000007337,68844,4,"It was okay, nothing special.",Delivery,Neutral,2023-08-22
1822011,1000006679,25742,3,"It was okay, nothing special.",Delivery,Neutral,2023-12-25
4763044,1000003738,68627,4,"Excellent quality, will buy again!",Delivery,Positive,2024-04-07
5621837,1000011880,57719,3,Product was damaged during delivery.,Product Quality,Negative,2023-04-23
4571579,1000007880,47260,2,The order was incorrect.,Product Quality,Negative,2023-09-29
3853657,1000007646,25033,4,"Delivery was fine, but the product could be better.",Product Quality,Neutral,2024-10-03
7245923,1000012625,98747,2,I had a bad experience.,Delivery,Negative,2024-03-26
2338813,1000000428,95904,3,Delivery was late and I was unhappy.,Product Quality,Negative,2024-08-06
2222062,1000017744,46100,1,Items were missing from my order.,App Experience,Negative,2023-11-21
6813661,1000015424,74291,4,"Delivery was fine, but the product could be better.",Delivery,Neutral,2024-01-04
4065309,1000010597,62935,3,"It was okay, nothing special.",Delivery,Neutral,2024-06-30
3025076,1000012623,31533,3,"Average experience, could improve.",Product Quality,Neutral,2024-10-08
9329920,1000009881,59382,3,"Delivery was fine, but the product could be better.",Delivery,Neutral,2023-07-16
1307363,1000016728,68127,3,Very disappointed with the quality.,Product Quality,Negative,2024-05-06
1930153,1000009092,77642,4,"Excellent quality, will buy again!",App Experience,Positive,2024-01-25
5614682,1000004862,63698,1,Customer service was not helpful.,Customer Service,Negative,2024-04-05
6784407,1000006340,17784,4,"Excellent quality, will buy again!",Delivery,Positive,2024-07-20
2013422,1000012857,75252,4,The product met my expectations.,Product Quality,Neutral,2023-12-26
344048,1000000151,21135,4,"It was okay, nothing special.",App Experience,Neutral,2023-05-08
3089818,1000018845,83658,3,"It was okay, nothing special.",Product Quality,Neutral,2023-11-05
5340615,1000016244,88048,3,The packaging was poor.,Customer Service,Negative,2023-06-13
8229982,1000004382,30116,4,"Overall good experience, thank you!",Product Quality,Positive,2024-10-19
2195625,1000002785,89731,4,The product met my expectations.,Customer Service,Neutral,2023-05-28
4371570,1000018002,80484,3,"It was okay, nothing special.",App Experience,Neutral,2023-12-02
7289033,1000003182,64772,4,"Excellent quality, will buy again!",Product Quality,Positive,2023-08-01
2978291,1000005487,89211,3,"Delivery was fine, but the product could be better.",Customer Service,Neutral,2024-11-02
9074696,1000018510,10479,4,"Excellent quality, will buy again!",Customer Service,Positive,2024-02-05
4994827,1000009930,98416,1,Customer service was not helpful.,App Experience,Negative,2024-08-13
1932712,1000005926,69870,1,The packaging was poor.,Delivery,Negative,2023-04-15
5568145,1000002072,22917,5,Great prices and fast delivery!,Delivery,Positive,2023-07-31
8266029,1000005491,53784,4,The product met my expectations.,Delivery,Neutral,2023-11-29
7621707,1000012651,46045,4,Highly recommended!,Product Quality,Positive,2023-08-01
545267,1000009469,94837,2,The packaging was poor.,App Experience,Negative,2024-01-06
2056599,1000009872,27795,4,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,2024-04-27
2265740,1000011036,59285,4,Great prices and fast delivery!,Customer Service,Positive,2024-07-16
2438008,1000019739,63880,5,Customer service was very helpful.,Customer Service,Positive,2023-08-08
7517891,1000011142,30500,5,"Overall good experience, thank you!",Delivery,Positive,2023-08-12
5506466,1000016516,26674,3,The product met my expectations.,Product Quality,Neutral,2023-05-21
9785308,1000001540,31402,4,The product met my expectations.,App Experience,Neutral,2024-05-23
3562195,1000001059,26342,4,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral,2023-12-24
1736546,1000001419,25760,5,"Overall good experience, thank you!",App Experience,Positive,2024-10-07
8067827,1000016090,65150,4,Good selection of products.,Customer Service,Positive,2023-07-18
5597699,1000005834,51346,2,Product was damaged during delivery.,App Experience,Negative,2023-08-17
7041781,1000007113,84233,5,"Overall good experience, thank you!",App Experience,Positive,2024-09-16
2333633,1000009195,58651,4,"Delivery was fine, but the product could be better.",Customer Service,Neutral,2023-06-09
8661092,1000012216,28463,2,Taste was not as expected.,Product Quality,Negative,2023-03-21
6765334,1000006110,74331,1,Not worth the price I paid.,App Experience,Negative,2024-08-24
1452437,1000010248,43326,2,I had a bad experience.,App Experience,Negative,2024-07-22
1280305,1000017666,37958,4,"Excellent quality, will buy again!",App Experience,Positive,2023-12-20
2395160,1000010176,59769,1,Customer service was not helpful.,Delivery,Negative,2024-10-19
5664217,1000010305,59829,5,Very happy with the service!,Customer Service,Positive,2024-02-10
9261384,1000009811,55206,4,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,2024-10-14
2930893,1000012678,36287,3,Very disappointed with the quality.,Delivery,Negative,2024-02-26
7046969,1000003168,38631,3,The product met my expectations.,Customer Service,Neutral,2023-11-28
29533,1000001815,23275,4,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,2024-01-12
5840376,1000014287,48161,3,The product met my expectations.,Product Quality,Neutral,2023-12-25
1755551,1000014423,77215,4,"Average experience, could improve.",Delivery,Neutral,2024-01-06
6078718,1000003803,57497,5,"Overall good experience, thank you!",Product Quality,Positive,2023-11-18
6559425,1000001263,16536,5,"Overall good experience, thank you!",Customer Service,Positive,2023-11-25
4075651,1000004777,74352,2,Taste was not as expected.,App Experience,Negative,2024-08-21
4329893,1000015690,65008,4,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral,2023-05-08
6376860,1000000003,65392,4,Will definitely order again.,Customer Service,Positive,2024-02-27
4848501,1000012001,76734,2,Delivery was late and I was unhappy.,App Experience,Negative,2023-03-21
3953251,1000004102,82334,3,Items were missing from my order.,Delivery,Negative,2023-10-03
9293552,1000002739,64301,4,The product met my expectations.,Customer Service,Neutral,2024-07-10
9483364,1000004661,40440,3,"Average experience, could improve.",Delivery,Neutral,2024-03-05
5154122,1000001914,18031,5,Great prices and fast delivery!,Delivery,Positive,2024-06-18
1883777,1000000359,58864,3,Very disappointed with the quality.,Delivery,Negative,2023-07-16
4156770,1000002394,46929,2,Delivery was late and I was unhappy.,Delivery,Negative,2023-12-01
6999355,1000000126,44362,4,"Delivery was fine, but the product could be better.",Delivery,Neutral,2024-11-03
8680329,1000016827,18924,4,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral,2024-03-04
3483069,1000006463,49126,3,"It was okay, nothing special.",Delivery,Neutral,2023-09-22
3662619,1000005470,60733,4,"Average experience, could improve.",Delivery,Neutral,2024-06-20
4364701,1000002668,94555,2,Customer service was not helpful.,Product Quality,Negative,2023-11-07
4844693,1000004506,44221,1,The packaging was poor.,App Experience,Negative,2024-03-27
1300567,1000014762,37042,4,Very fresh and well-packaged.,Product Quality,Positive,2024-05-28
5430155,1000012000,20210,3,The product met my expectations.,Delivery,Neutral,2023-07-08
3233069,1000019286,88350,1,Customer service was not helpful.,Delivery,Negative,2023-12-03
3246894,1000019683,45371,4,Will definitely order again.,Product Quality,Positive,2024-04-26
6084184,1000012010,84440,3,"Average experience, could improve.",Delivery,Neutral,2023-12-03
8458237,1000000720,17872,2,Customer service was not helpful.,Customer Service,Negative,2023-12-05
5909067,1000000377,14541,1,I had a bad experience.,Delivery,Negative,2023-11-22
929702,1000008726,13012,5,Items were in perfect condition.,Delivery,Positive,2024-06-25
6892019,1000012183,11171,4,The product met my expectations.,App Experience,Neutral,2024-09-22
6001815,1000006155,45406,2,The packaging was poor.,App Experience,Negative,2024-06-19
3856968,1000019250,20108,4,"It was okay, nothing special.",Delivery,Neutral,2023-06-06
7342761,1000010692,10844,5,Great prices and fast delivery!,Customer Service,Positive,2023-05-12
6301325,1000012611,78843,4,"Delivery was fine, but the product could be better.",App Experience,Neutral,2024-06-09
175550,1000000350,20357,4,Will definitely order again.,Customer Service,Positive,2024-08-20
3584525,1000013792,57728,2,Delivery was late and I was unhappy.,Delivery,Negative,2023-05-28
4434255,1000010618,77659,4,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,2024-04-14
2332501,1000015040,57047,3,"Delivery was fine, but the product could be better.",Delivery,Neutral,2024-02-28
529507,1000012873,33993,5,"Overall good experience, thank you!",Product Quality,Positive,2024-03-15
3049810,1000015960,35539,4,"Average experience, could improve.",App Experience,Neutral,2023-04-20
5808553,1000003643,52891,4,"Overall good experience, thank you!",App Experience,Positive,2024-03-11
2917013,1000012814,58794,4,"Excellent quality, will buy again!",Customer Service,Positive,2023-06-03
1159860,1000011801,76114,4,"Delivery was fine, but the product could be better.",App Experience,Neutral,2024-03-17
8809496,1000015246,57630,3,The packaging was poor.,Customer Service,Negative,2024-04-05
2694712,1000011469,76408,2,Delivery was late and I was unhappy.,Delivery,Negative,2024-09-22
7498417,1000005073,52547,4,"Average experience, could improve.",Delivery,Neutral,2024-10-24
3262730,1000010153,12544,4,"Average experience, could improve.",Delivery,Neutral,2023-05-17
6773414,1000013271,55920,3,I had a bad experience.,Delivery,Negative,2024-03-03
7171637,1000015897,17455,3,"Average experience, could improve.",Product Quality,Neutral,2024-04-02
3283932,1000016830,67182,4,Will definitely order again.,Product Quality,Positive,2024-11-04
8199864,1000018975,84348,4,"Overall good experience, thank you!",Product Quality,Positive,2024-07-10
945453,1000009452,86463,5,Items were in perfect condition.,Delivery,Positive,2023-03-21
5730680,1000005337,87347,5,Items were in perfect condition.,Customer Service,Positive,2024-09-16
113770,1000005264,29242,3,"Delivery was fine, but the product could be better.",Customer Service,Neutral,2023-04-03
8086727,1000011210,26036,5,Very happy with the service!,Delivery,Positive,2023-04-29
3180619,1000001147,27428,2,Items were missing from my order.,Product Quality,Negative,2023-12-17
5525089,1000013122,88078,5,Very fresh and well-packaged.,Product Quality,Positive,2023-05-10
478239,1000014606,69257,3,Not worth the price I paid.,Customer Service,Negative,2023-07-05
2088092,1000019742,47094,2,The packaging was poor.,Delivery,Negative,2024-02-22
4421485,1000004692,41419,4,"Delivery was fine, but the product could be better.",Delivery,Neutral,2024-10-10
3129645,1000005854,17983,2,Delivery was late and I was unhappy.,Delivery,Negative,2024-04-16
8616443,1000009290,18750,3,"It was okay, nothing special.",Delivery,Neutral,2023-12-07
1002741,1000009759,50351,1,Delivery was late and I was unhappy.,Customer Service,Negative,2023-12-03
5232827,1000019866,71252,4,"It was okay, nothing special.",Product Quality,Neutral,2023-09-09
716244,1000019293,87681,4,"Overall good experience, thank you!",Product Quality,Positive,2024-01-28
1801673,1000000107,59968,4,"Delivery was fine, but the product could be better.",Product Quality,Neutral,2024-04-14
4393080,1000004961,14872,5,Items were in perfect condition.,Product Quality,Positive,2023-07-08
9347337,1000017265,59269,4,"Excellent quality, will buy again!",Delivery,Positive,2024-10-26
6585928,1000004216,42413,5,Good selection of products.,Customer Service,Positive,2024-04-13
4929568,1000016359,63271,2,Items were missing from my order.,Product Quality,Negative,2023-05-18
6959173,1000008763,11611,3,Customer service was not helpful.,Product Quality,Negative,2024-06-01
7611885,1000009488,72012,3,"It was okay, nothing special.",App Experience,Neutral,2023-08-05
1795388,1000006257,46082,5,Great prices and fast delivery!,App Experience,Positive,2024-01-08
6105898,1000004834,17053,2,Not worth the price I paid.,Customer Service,Negative,2024-03-17
2468637,1000019555,44257,5,Great prices and fast delivery!,Product Quality,Positive,2024-07-06
1423073,1000000396,23726,5,Will definitely order again.,Delivery,Positive,2023-05-30
4632185,1000006534,38632,3,Not worth the price I paid.,Product Quality,Negative,2024-11-04
4420247,1000011504,23945,4,Will definitely order again.,Product Quality,Positive,2024-05-14
4072221,1000000528,73192,3,"Average experience, could improve.",Delivery,Neutral,2024-04-09
7824497,1000002133,74796,3,Taste was not as expected.,Customer Service,Negative,2024-10-01
4309566,1000009313,43061,3,"Average experience, could improve.",Product Quality,Neutral,2023-08-09
701482,1000001495,53340,2,Delivery was late and I was unhappy.,Product Quality,Negative,2024-06-19
4755342,1000002302,21473,2,Delivery was late and I was unhappy.,Product Quality,Negative,2024-02-28
8051225,1000007517,31628,4,"Delivery was fine, but the product could be better.",Customer Service,Neutral,2024-09-05
7506282,1000012160,86426,3,"It was okay, nothing special.",Delivery,Neutral,2023-03-20
683291,1000017507,33154,5,Will definitely order again.,Delivery,Positive,2023-06-05
7247315,1000007570,54073,2,Taste was not as expected.,Delivery,Negative,2023-11-08
4065348,1000004979,31968,4,"It was okay, nothing special.",App Experience,Neutral,2023-09-29
5741563,1000001107,16286,4,"It was okay, nothing special.",Product Quality,Neutral,2023-09-06
6518834,1000006374,20372,1,Not worth the price I paid.,Product Quality,Negative,2024-02-03
9298983,1000016868,37904,1,Not worth the price I paid.,Delivery,Negative,2023-05-09
473292,1000007742,95466,5,Very happy with the service!,Customer Service,Positive,2023-11-04
4246558,1000000184,12490,4,"Average experience, could improve.",Delivery,Neutral,2023-12-03
6116226,1000001367,33385,3,The product met my expectations.,Delivery,Neutral,2023-08-09
4431634,1000004479,20176,3,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,2023-06-14
5379697,1000002079,36062,4,The product met my expectations.,App Experience,Neutral,2024-07-17
8770972,1000014083,96536,5,Good selection of products.,App Experience,Positive,2024-06-11
5156705,1000005148,55595,1,The order was incorrect.,Customer Service,Negative,2023-07-07
7404702,1000006996,31011,4,"Average experience, could improve.",Customer Service,Neutral,2024-06-12
2831845,1000015730,84003,3,Product was damaged during delivery.,Product Quality,Negative,2023-09-03
2332666,1000006411,17838,4,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,2024-04-02
8562721,1000011213,14707,3,Taste was not as expected.,App Experience,Negative,2024-02-19
1943750,1000008425,91631,5,Very happy with the service!,Product Quality,Positive,2023-05-22
207462,1000005323,23061,4,Very fresh and well-packaged.,Product Quality,Positive,2024-03-29
3150233,1000000472,48557,2,Taste was not as expected.,App Experience,Negative,2024-06-21
2778967,1000008657,32069,5,Great prices and fast delivery!,Customer Service,Positive,2023-11-08
3748731,1000009635,27118,5,Customer service was very helpful.,App Experience,Positive,2023-11-07
1796172,1000016751,64100,3,"Nothing to complain about, but nothing exceptional.",App Experience,Neutral,2024-02-11
6220082,1000000022,84847,3,The order was incorrect.,Delivery,Negative,2024-10-26
8509910,1000010182,34155,4,Items were in perfect condition.,Delivery,Positive,2023-10-21
2601837,1000013581,30277,4,"It was okay, nothing special.",Delivery,Neutral,2024-04-22
3182946,1000017619,17251,4,"Average experience, could improve.",Delivery,Neutral,2024-08-10
936864,1000009203,10567,4,"Delivery was fine, but the product could be better.",Customer Service,Neutral,2023-10-31
6375482,1000010264,72498,3,"Delivery was fine, but the product could be better.",Product Quality,Neutral,2024-02-02
5904785,1000011238,22084,2,I had a bad experience.,Delivery,Negative,2024-05-16
8521960,1000002844,16862,5,Very fresh and well-packaged.,Product Quality,Positive,2023-11-14
7041516,1000005939,14357,4,The product met my expectations.,App Experience,Neutral,2023-09-06
6157435,1000011459,67580,2,The packaging was poor.,Delivery,Negative,2024-06-03
1247723,1000012403,44983,4,Good selection of products.,App Experience,Positive,2024-06-02
5700999,1000003549,47231,4,"Average experience, could improve.",Product Quality,Neutral,2024-09-27
6222962,1000000240,47649,3,Items were missing from my order.,Customer Service,Negative,2024-02-07
3619827,1000003747,46044,4,"Delivery was fine, but the product could be better.",Product Quality,Neutral,2024-09-10
6486974,1000019225,20357,1,I had a bad experience.,App Experience,Negative,2024-07-08
8510571,1000011479,24345,4,Good selection of products.,Product Quality,Positive,2023-05-26
7820768,1000014942,74706,2,The packaging was poor.,Customer Service,Negative,2024-03-10
3379880,1000013508,47447,4,"It was okay, nothing special.",Product Quality,Neutral,2023-05-13
7036036,1000019523,15470,4,Items were in perfect condition.,Product Quality,Positive,2024-06-27
7899107,1000010190,24671,2,The packaging was poor.,Customer Service,Negative,2023-11-12
8194084,1000015198,58059,4,Customer service was very helpful.,Product Quality,Positive,2023-12-04
1887717,1000008855,56595,4,"Average experience, could improve.",Customer Service,Neutral,2024-05-22
9010621,1000009910,55783,3,"Delivery was fine, but the product could be better.",Product Quality,Neutral,2024-03-19
4669199,1000015206,61266,4,"Excellent quality, will buy again!",Product Quality,Positive,2024-02-03
5068146,1000019170,49149,3,Very disappointed with the quality.,App Experience,Negative,2024-05-17
5560971,1000003649,65872,5,Very fresh and well-packaged.,Product Quality,Positive,2024-04-13
1893053,1000002461,43038,4,Highly recommended!,Customer Service,Positive,2023-07-28
5234515,1000008683,28387,3,"Average experience, could improve.",Delivery,Neutral,2024-09-23
580986,1000006113,80670,2,Taste was not as expected.,App Experience,Negative,2023-10-30
8455467,1000018113,76210,4,"It was okay, nothing special.",Delivery,Neutral,2023-07-30
2007716,1000011639,78777,4,"Delivery was fine, but the product could be better.",Customer Service,Neutral,2024-10-13
9708237,1000009863,93534,5,Very happy with the service!,Delivery,Positive,2024-01-15
4227603,1000000558,92660,4,Highly recommended!,Product Quality,Positive,2024-08-26
654227,1000001058,63581,2,Taste was not as expected.,App Experience,Negative,2024-06-09
7114455,1000017596,23708,4,"Average experience, could improve.",Product Quality,Neutral,2023-06-21
3148730,1000010464,85004,3,"Average experience, could improve.",App Experience,Neutral,2023-09-14
4637528,1000014962,32773,2,The packaging was poor.,Customer Service,Negative,2024-09-21
8730252,1000019279,52193,2,Items were missing from my order.,Delivery,Negative,2024-07-31
6060670,1000006254,71881,3,"Nothing to complain about, but nothing exceptional.",App Experience,Neutral,2024-07-20
4844650,1000003255,38284,3,Items were missing from my order.,App Experience,Negative,2024-07-09
9745124,1000007809,60750,1,Taste was not as expected.,Delivery,Negative,2023-06-23
7548113,1000004953,79595,4,"Average experience, could improve.",App Experience,Neutral,2024-04-24
5623901,1000010955,36817,4,"It was okay, nothing special.",Customer Service,Neutral,2023-05-20
1033430,1000009750,77485,3,The product met my expectations.,Product Quality,Neutral,2024-01-15
390761,1000002444,89669,4,The product met my expectations.,Customer Service,Neutral,2023-04-08
4859714,1000018956,45732,2,Taste was not as expected.,Delivery,Negative,2023-08-02
7224389,1000011805,30346,4,"Delivery was fine, but the product could be better.",App Experience,Neutral,2023-12-22
2957775,1000000526,79655,4,"Delivery was fine, but the product could be better.",App Experience,Neutral,2024-08-12
1861939,1000019338,53511,4,The product met my expectations.,Delivery,Neutral,2023-04-08
8506288,1000011179,18273,3,Taste was not as expected.,Product Quality,Negative,2024-09-02
6192529,1000013791,79641,2,Taste was not as expected.,Product Quality,Negative,2023-10-25
1618838,1000017034,12464,3,Product was damaged during delivery.,Product Quality,Negative,2023-09-18
4586251,1000013986,48819,5,"Overall good experience, thank you!",Product Quality,Positive,2023-08-20
4350650,1000008292,38604,4,"Delivery was fine, but the product could be better.",Customer Service,Neutral,2023-07-18
8477025,1000010324,81512,3,"Delivery was fine, but the product could be better.",App Experience,Neutral,2023-12-19
1952997,1000011248,12158,4,Items were in perfect condition.,Customer Service,Positive,2023-06-27
3708986,1000006028,58503,3,Very disappointed with the quality.,Customer Service,Negative,2023-08-25
5606141,1000018025,93220,4,"Delivery was fine, but the product could be better.",Delivery,Neutral,2023-08-08
9339865,1000012350,90159,4,Highly recommended!,App Experience,Positive,2024-07-09
4858898,1000016079,30448,3,"Delivery was fine, but the product could be better.",App Experience,Neutral,2023-12-12
9230966,1000001020,70470,5,Customer service was very helpful.,App Experience,Positive,2023-05-24
9059940,1000014984,72313,2,Very disappointed with the quality.,Customer Service,Negative,2024-02-20
3954704,1000007688,69211,4,"Nothing to complain about, but nothing exceptional.",App Experience,Neutral,2024-03-31
5651196,1000018516,27992,4,"Excellent quality, will buy again!",Delivery,Positive,2024-03-30
7698385,1000003596,68686,3,Customer service was not helpful.,Product Quality,Negative,2023-12-27
6692319,1000004488,93376,3,"Delivery was fine, but the product could be better.",Delivery,Neutral,2023-09-18
4807430,1000000358,95944,4,"It was okay, nothing special.",Delivery,Neutral,2024-05-18
6541743,1000001669,44486,4,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,2024-06-17
9853363,1000001698,52183,4,Good selection of products.,Delivery,Positive,2024-10-22
8193270,1000011940,77377,3,"It was okay, nothing special.",Product Quality,Neutral,2023-06-14
327126,1000003973,54496,5,Good selection of products.,Delivery,Positive,2023-08-16
6353752,1000002569,86284,1,Taste was not as expected.,App Experience,Negative,2023-12-20
408309,1000011490,96549,3,The product met my expectations.,Delivery,Neutral,2023-11-13
9691887,1000017753,31161,3,"Average experience, could improve.",App Experience,Neutral,2024-10-25
51560,1000019124,14576,3,Customer service was not helpful.,Customer Service,Negative,2023-04-07
2521458,1000007307,99157,1,Delivery was late and I was unhappy.,Product Quality,Negative,2024-06-25
8390508,1000001823,29876,5,"Excellent quality, will buy again!",App Experience,Positive,2024-05-26
913683,1000010838,80565,4,Highly recommended!,Product Quality,Positive,2024-02-20
1306601,1000018979,12776,4,Good selection of products.,Customer Service,Positive,2023-10-06
1687980,1000012158,30684,5,Highly recommended!,App Experience,Positive,2024-05-17
2866024,1000013259,66879,3,"Delivery was fine, but the product could be better.",Customer Service,Neutral,2023-04-23
5931641,1000017535,28470,1,The packaging was poor.,Customer Service,Negative,2023-04-27
1605595,1000017294,99970,4,The product met my expectations.,Product Quality,Neutral,2023-05-03
25577,1000019750,90335,4,Good selection of products.,Customer Service,Positive,2024-10-01
4258919,1000008395,42853,5,Items were in perfect condition.,Delivery,Positive,2023-12-14
6630006,1000004889,26841,4,Customer service was very helpful.,App Experience,Positive,2024-09-13
9003999,1000004916,52665,3,"Delivery was fine, but the product could be better.",Delivery,Neutral,2023-12-08
9017197,1000019620,56834,2,Product was damaged during delivery.,App Experience,Negative,2023-12-06
8997814,1000012842,38495,1,Very disappointed with the quality.,Delivery,Negative,2024-07-27
116173,1000013213,46510,4,Will definitely order again.,Delivery,Positive,2023-03-24
2204388,1000016785,92470,3,"It was okay, nothing special.",App Experience,Neutral,2023-09-13
7446356,1000014342,49256,3,"Average experience, could improve.",Product Quality,Neutral,2023-06-02
4740952,1000008713,28574,3,"Nothing to complain about, but nothing exceptional.",App Experience,Neutral,2023-07-30
7602818,1000015930,54659,3,Delivery was late and I was unhappy.,Product Quality,Negative,2023-06-28
2703135,1000007154,61627,3,Items were missing from my order.,Customer Service,Negative,2024-08-07
6772284,1000006492,86928,3,The packaging was poor.,Delivery,Negative,2023-03-31
1038308,1000012255,84007,4,Will definitely order again.,Delivery,Positive,2023-04-22
682222,1000004386,80411,2,Items were missing from my order.,Product Quality,Negative,2024-06-05
505569,1000004391,95849,2,The packaging was poor.,App Experience,Negative,2024-08-03
2483109,1000004995,29117,4,"Delivery was fine, but the product could be better.",Delivery,Neutral,2023-07-23
9866743,1000012074,13760,5,Items were in perfect condition.,Customer Service,Positive,2023-08-21
1263890,1000005371,23172,5,Very fresh and well-packaged.,App Experience,Positive,2023-10-13
8519341,1000012906,30851,1,Delivery was late and I was unhappy.,Product Quality,Negative,2024-04-13
4189141,1000005464,58952,4,Great prices and fast delivery!,App Experience,Positive,2024-06-17
2457038,1000009224,97141,4,Good selection of products.,Product Quality,Positive,2024-07-27
2423659,1000010753,28030,4,Items were in perfect condition.,App Experience,Positive,2023-07-30
1347681,1000018407,82648,4,Highly recommended!,Product Quality,Positive,2024-07-19
