date,channel,spend,impressions
2023-04-14,SMS,2323.78,21759
2023-04-14,Email,261.51,5152
2023-04-14,Facebook,4636.89,19345
2023-04-14,App Notification,259.84,6029
2023-04-14,Google Ads,5962.45,26578
2023-04-14,Instagram,3609.35,23507
2023-04-15,SMS,2273.27,22195
2023-04-15,Email,262.15,4760
2023-04-15,Facebook,6083.27,22118
2023-04-15,App Notification,276.27,6418
2023-04-15,Google Ads,8369.02,34517
2023-04-15,Instagram,5644.27,38357
2023-04-16,SMS,1880.92,21198
2023-04-16,Email,713.85,15406
2023-04-16,Facebook,5703.32,22700
2023-04-16,App Notification,163.12,3791
2023-04-16,Google Ads,5754.3,16733
2023-04-16,Instagram,4164.01,27196
2023-04-17,SMS,2557.2,23682
2023-04-17,Email,652.26,11542
2023-04-17,Facebook,4924.61,26843
2023-04-17,App Notification,187.6,5122
2023-04-17,Google Ads,8055.61,21281
2023-04-17,Instagram,5443.92,25941
2023-04-18,SMS,1003.29,9218
2023-04-18,Email,492.56,8437
2023-04-18,Facebook,4296.98,23586
2023-04-18,App Notification,210.33,4601
2023-04-18,Google Ads,8907.41,25937
2023-04-18,Instagram,2661.33,12860
2023-04-19,SMS,2829.38,31886
2023-04-19,Email,317.07,7178
2023-04-19,Facebook,3931.73,22070
2023-04-19,App Notification,315.31,6313
2023-04-19,Google Ads,5525.5,22865
2023-04-19,Instagram,4629.35,27446
2023-04-20,SMS,2985.61,34012
2023-04-20,Email,754.08,12995
2023-04-20,Facebook,5548.8,20178
2023-04-20,App Notification,370.79,9308
2023-04-20,Google Ads,4854.38,21203
2023-04-20,Instagram,2677.67,17817
2023-04-21,SMS,1445.46,15594
2023-04-21,Email,761.25,18837
2023-04-21,Facebook,3668.33,17915
2023-04-21,App Notification,379.44,8987
2023-04-21,Google Ads,4502.74,11459
2023-04-21,Instagram,5278.15,34304
2023-04-22,SMS,1020.63,10264
2023-04-22,Email,536.41,12739
2023-04-22,Facebook,5756.76,25794
2023-04-22,App Notification,193.38,5291
2023-04-22,Google Ads,6193.99,20522
2023-04-22,Instagram,4522.99,25786
2023-04-23,SMS,1294.42,12662
2023-04-23,Email,515.84,10461
2023-04-23,Facebook,3468.83,17387
2023-04-23,App Notification,192.06,3851
2023-04-23,Google Ads,8174.0,29515
2023-04-23,Instagram,4634.14,32979
2023-04-24,SMS,2118.09,24147
2023-04-24,Email,461.36,9131
2023-04-24,Facebook,6362.77,33694
2023-04-24,App Notification,272.62,7886
2023-04-24,Google Ads,8206.13,25646
2023-04-24,Instagram,5765.29,38112
2023-04-25,SMS,2142.2,23995
2023-04-25,Email,337.0,7817
2023-04-25,Facebook,5680.8,28229
2023-04-25,App Notification,182.77,4335
2023-04-25,Google Ads,5754.9,14811
2023-04-25,Instagram,2938.15,20668
2023-04-26,SMS,1553.53,14997
2023-04-26,Email,600.62,11333
2023-04-26,Facebook,3167.98,14951
2023-04-26,App Notification,289.45,8292
2023-04-26,Google Ads,6188.48,22279
2023-04-26,Instagram,5540.96,36207
2023-04-27,SMS,1227.57,12272
2023-04-27,Email,214.77,4881
2023-04-27,Facebook,3177.93,13143
2023-04-27,App Notification,373.07,9007
2023-04-27,Google Ads,5653.19,24661
2023-04-27,Instagram,5172.04,26826
2023-04-28,SMS,2597.66,29823
2023-04-28,Email,528.02,10074
2023-04-28,Facebook,4648.73,23730
2023-04-28,App Notification,209.12,5697
2023-04-28,Google Ads,6857.51,27236
2023-04-28,Instagram,5633.22,35024
2023-04-29,SMS,2468.36,20609
2023-04-29,Email,603.92,12340
2023-04-29,Facebook,6603.92,34992
2023-04-29,App Notification,369.61,10621
2023-04-29,Google Ads,7991.6,22410
2023-04-29,Instagram,3812.43,18477
2023-04-30,SMS,2295.3,20954
2023-04-30,Email,659.84,15160
2023-04-30,Facebook,4184.91,18663
2023-04-30,App Notification,125.79,2984
2023-04-30,Google Ads,6433.57,25341
2023-04-30,Instagram,4969.98,32511
2023-05-01,SMS,2300.34,21695
2023-05-01,Email,730.84,16625
2023-05-01,Facebook,5060.49,19414
2023-05-01,App Notification,144.64,3565
2023-05-01,Google Ads,4441.24,18586
2023-05-01,Instagram,5785.96,32118
2023-05-02,SMS,2315.65,24921
2023-05-02,Email,717.38,10914
2023-05-02,Facebook,5378.3,22019
2023-05-02,App Notification,242.69,6580
2023-05-02,Google Ads,7271.31,27118
2023-05-02,Instagram,5243.89,25962
2023-05-03,SMS,1791.5,21449
2023-05-03,Email,611.14,10415
2023-05-03,Facebook,5561.37,23746
2023-05-03,App Notification,249.0,5102
2023-05-03,Google Ads,4117.22,10523
2023-05-03,Instagram,5747.02,30510
2023-05-04,SMS,1327.76,13028
2023-05-04,Email,725.35,11527
2023-05-04,Facebook,5105.9,21383
2023-05-04,App Notification,345.48,9979
2023-05-04,Google Ads,6946.81,24027
2023-05-04,Instagram,4454.25,21664
2023-05-05,SMS,2782.71,24869
2023-05-05,Email,698.45,12268
2023-05-05,Facebook,6219.97,35899
2023-05-05,App Notification,229.22,5678
2023-05-05,Google Ads,5581.59,16702
2023-05-05,Instagram,5147.13,32592
2023-05-06,SMS,1683.89,15452
2023-05-06,Email,793.97,19425
2023-05-06,Facebook,5639.88,29980
2023-05-06,App Notification,277.28,7164
2023-05-06,Google Ads,8460.26,34768
2023-05-06,Instagram,3992.6,28733
2023-05-07,SMS,2951.78,28279
2023-05-07,Email,396.69,9733
2023-05-07,Facebook,6155.22,25707
2023-05-07,App Notification,228.3,6017
2023-05-07,Google Ads,6877.52,18343
2023-05-07,Instagram,3826.99,23572
2023-05-08,SMS,1769.9,16595
2023-05-08,Email,476.81,10959
2023-05-08,Facebook,6434.3,25108
2023-05-08,App Notification,247.65,7060
2023-05-08,Google Ads,4502.51,15592
2023-05-08,Instagram,5764.14,33343
2023-05-09,SMS,2897.41,27149
2023-05-09,Email,662.26,10572
2023-05-09,Facebook,3084.76,15254
2023-05-09,App Notification,168.76,4713
2023-05-09,Google Ads,8809.72,34743
2023-05-09,Instagram,3228.97,17914
2023-05-10,SMS,1997.78,16010
2023-05-10,Email,664.59,10318
2023-05-10,Facebook,6903.3,26213
2023-05-10,App Notification,318.48,8478
2023-05-10,Google Ads,8616.49,25734
2023-05-10,Instagram,3609.92,17374
2023-05-11,SMS,2920.89,26513
2023-05-11,Email,672.12,15832
2023-05-11,Facebook,6096.74,32798
2023-05-11,App Notification,135.97,2831
2023-05-11,Google Ads,5278.17,18874
2023-05-11,Instagram,3619.89,17379
2023-05-12,SMS,2039.14,22625
2023-05-12,Email,402.06,6941
2023-05-12,Facebook,6290.91,28478
2023-05-12,App Notification,214.17,6348
2023-05-12,Google Ads,5372.49,19139
2023-05-12,Instagram,5729.43,27086
2023-05-13,SMS,2769.99,28024
2023-05-13,Email,644.49,14814
2023-05-13,Facebook,5695.25,21761
2023-05-13,App Notification,364.26,8308
2023-05-13,Google Ads,4078.77,10521
2023-05-13,Instagram,3517.19,20603
2023-05-14,SMS,2629.1,27731
2023-05-14,Email,284.15,6782
2023-05-14,Facebook,5868.59,31208
2023-05-14,App Notification,215.79,4935
2023-05-14,Google Ads,6258.24,20261
2023-05-14,Instagram,5433.85,38162
2023-05-15,SMS,2071.49,20211
2023-05-15,Email,267.89,4781
2023-05-15,Facebook,6401.22,30052
2023-05-15,App Notification,336.78,9902
2023-05-15,Google Ads,8776.24,34141
2023-05-15,Instagram,4607.61,30047
2023-05-16,SMS,2503.51,21813
2023-05-16,Email,295.36,5808
2023-05-16,Facebook,6651.25,25256
2023-05-16,App Notification,254.89,7161
2023-05-16,Google Ads,4144.18,11385
2023-05-16,Instagram,3960.97,28810
2023-05-17,SMS,1154.17,9503
2023-05-17,Email,396.77,9896
2023-05-17,Facebook,4182.56,19378
2023-05-17,App Notification,238.61,4874
2023-05-17,Google Ads,7789.09,33649
2023-05-17,Instagram,4306.14,22406
2023-05-18,SMS,1834.59,16848
2023-05-18,Email,448.23,6753
2023-05-18,Facebook,5184.72,23214
2023-05-18,App Notification,127.03,3576
2023-05-18,Google Ads,8717.33,38899
2023-05-18,Instagram,2759.23,15909
2023-05-19,SMS,2836.63,32342
2023-05-19,Email,336.97,6598
2023-05-19,Facebook,5725.85,32417
2023-05-19,App Notification,395.15,9580
2023-05-19,Google Ads,4143.28,16049
2023-05-19,Instagram,3416.91,15803
2023-05-20,SMS,1006.65,9264
2023-05-20,Email,267.04,4278
2023-05-20,Facebook,6733.93,32724
2023-05-20,App Notification,347.32,7140
2023-05-20,Google Ads,8293.03,26946
2023-05-20,Instagram,3690.93,20182
2023-05-21,SMS,2147.54,25172
2023-05-21,Email,268.9,4265
2023-05-21,Facebook,4452.76,22036
2023-05-21,App Notification,184.31,3927
2023-05-21,Google Ads,5226.41,19463
2023-05-21,Instagram,2617.06,18618
2023-05-22,SMS,1503.5,17462
2023-05-22,Email,469.08,9048
2023-05-22,Facebook,3891.57,17014
2023-05-22,App Notification,392.53,10371
2023-05-22,Google Ads,4801.74,20187
2023-05-22,Instagram,3530.09,17290
2023-05-23,SMS,1867.95,20941
2023-05-23,Email,569.64,11848
2023-05-23,Facebook,4302.7,23158
2023-05-23,App Notification,135.46,3949
2023-05-23,Google Ads,8100.36,22076
2023-05-23,Instagram,3469.31,24092
2023-05-24,SMS,1429.29,15244
2023-05-24,Email,206.98,3256
2023-05-24,Facebook,6463.17,31981
2023-05-24,App Notification,263.79,6168
2023-05-24,Google Ads,5754.6,18791
2023-05-24,Instagram,3699.23,22494
2023-05-25,SMS,1238.36,14417
2023-05-25,Email,204.61,4954
2023-05-25,Facebook,4211.9,14791
2023-05-25,App Notification,307.85,7456
2023-05-25,Google Ads,5034.36,13889
2023-05-25,Instagram,5452.38,31441
2023-05-26,SMS,1908.89,17459
2023-05-26,Email,672.35,11682
2023-05-26,Facebook,4699.54,21701
2023-05-26,App Notification,222.22,5392
2023-05-26,Google Ads,4979.3,22298
2023-05-26,Instagram,3000.98,21270
2023-05-27,SMS,2578.39,25877
2023-05-27,Email,445.11,7705
2023-05-27,Facebook,3720.72,18219
2023-05-27,App Notification,210.7,6175
2023-05-27,Google Ads,5962.02,18118
2023-05-27,Instagram,5044.5,33614
2023-05-28,SMS,1845.03,15879
2023-05-28,Email,264.9,5579
2023-05-28,Facebook,4691.66,19939
2023-05-28,App Notification,126.74,3160
2023-05-28,Google Ads,6269.51,19763
2023-05-28,Instagram,3522.37,19264
2023-05-29,SMS,2691.07,23670
2023-05-29,Email,540.68,11013
2023-05-29,Facebook,6650.83,31593
2023-05-29,App Notification,250.65,6286
2023-05-29,Google Ads,6642.7,22356
2023-05-29,Instagram,3300.87,23549
2023-05-30,SMS,1111.22,9827
2023-05-30,Email,631.28,13736
2023-05-30,Facebook,3911.56,16324
2023-05-30,App Notification,204.84,5243
2023-05-30,Google Ads,8344.37,27668
2023-05-30,Instagram,3810.17,18195
2023-05-31,SMS,2346.14,19581
2023-05-31,Email,741.83,11250
2023-05-31,Facebook,3734.37,20762
2023-05-31,App Notification,349.09,9701
2023-05-31,Google Ads,5766.62,22374
2023-05-31,Instagram,5675.0,38622
2023-06-01,SMS,2678.68,26824
2023-06-01,Email,481.43,7721
2023-06-01,Facebook,3424.51,19880
2023-06-01,App Notification,139.17,3441
2023-06-01,Google Ads,4982.82,17015
2023-06-01,Instagram,3354.36,18439
2023-06-02,SMS,1396.18,14757
2023-06-02,Email,738.09,17087
2023-06-02,Facebook,6536.77,36958
2023-06-02,App Notification,386.52,7786
2023-06-02,Google Ads,7900.58,29091
2023-06-02,Instagram,2527.22,14990
2023-06-03,SMS,2170.88,25831
2023-06-03,Email,331.95,7351
2023-06-03,Facebook,4464.05,20418
2023-06-03,App Notification,107.77,3058
2023-06-03,Google Ads,6827.43,18759
2023-06-03,Instagram,3199.15,22028
2023-06-04,SMS,2574.92,20645
2023-06-04,Email,502.4,11907
2023-06-04,Facebook,5452.46,20465
2023-06-04,App Notification,134.54,2978
2023-06-04,Google Ads,5054.34,13081
2023-06-04,Instagram,5326.28,24706
2023-06-05,SMS,2317.37,20297
2023-06-05,Email,275.62,4144
2023-06-05,Facebook,4678.72,18651
2023-06-05,App Notification,247.46,7208
2023-06-05,Google Ads,8616.75,30223
2023-06-05,Instagram,5998.0,43600
2023-06-06,SMS,2398.15,25244
2023-06-06,Email,653.19,12995
2023-06-06,Facebook,4581.67,26179
2023-06-06,App Notification,202.88,4658
2023-06-06,Google Ads,6509.6,27032
2023-06-06,Instagram,4543.41,27980
2023-06-07,SMS,1375.24,11462
2023-06-07,Email,204.4,3359
2023-06-07,Facebook,6464.9,26980
2023-06-07,App Notification,360.78,7834
2023-06-07,Google Ads,8307.65,31889
2023-06-07,Instagram,4704.65,29822
2023-06-08,SMS,2360.97,26874
2023-06-08,Email,480.79,11649
2023-06-08,Facebook,5029.6,21625
2023-06-08,App Notification,186.56,4798
2023-06-08,Google Ads,8816.66,22306
2023-06-08,Instagram,4588.94,26828
2023-06-09,SMS,2474.14,25286
2023-06-09,Email,575.64,10852
2023-06-09,Facebook,5693.76,31155
2023-06-09,App Notification,314.77,8188
2023-06-09,Google Ads,4349.11,12899
2023-06-09,Instagram,5594.03,35681
2023-06-10,SMS,1264.3,11803
2023-06-10,Email,367.15,7452
2023-06-10,Facebook,5911.51,22563
2023-06-10,App Notification,201.67,4272
2023-06-10,Google Ads,5472.36,15296
2023-06-10,Instagram,4072.85,24052
2023-06-11,SMS,2462.87,27142
2023-06-11,Email,422.95,10334
2023-06-11,Facebook,6659.53,35288
2023-06-11,App Notification,234.82,5551
2023-06-11,Google Ads,6630.68,18249
2023-06-11,Instagram,4680.01,28275
2023-06-12,SMS,1055.69,8792
2023-06-12,Email,614.44,12492
2023-06-12,Facebook,4082.15,16838
2023-06-12,App Notification,218.7,5971
2023-06-12,Google Ads,6848.92,26320
2023-06-12,Instagram,5389.64,39898
2023-06-13,SMS,2071.79,17482
2023-06-13,Email,759.7,17907
2023-06-13,Facebook,3299.2,17609
2023-06-13,App Notification,299.63,8535
2023-06-13,Google Ads,5770.21,20933
2023-06-13,Instagram,3747.92,21274
2023-06-14,SMS,1541.55,13061
2023-06-14,Email,405.22,6916
2023-06-14,Facebook,6682.23,34086
2023-06-14,App Notification,348.4,10102
2023-06-14,Google Ads,8189.71,21642
2023-06-14,Instagram,5880.83,27275
2023-06-15,SMS,2137.53,20977
2023-06-15,Email,755.57,17954
2023-06-15,Facebook,6703.04,40018
2023-06-15,App Notification,154.97,3901
2023-06-15,Google Ads,7039.74,23755
2023-06-15,Instagram,3407.61,22655
2023-06-16,SMS,2581.56,26559
2023-06-16,Email,517.34,11258
2023-06-16,Facebook,6375.25,29487
2023-06-16,App Notification,274.91,6417
2023-06-16,Google Ads,6580.1,17363
2023-06-16,Instagram,3483.61,15763
2023-06-17,SMS,1565.52,14573
2023-06-17,Email,796.26,13502
2023-06-17,Facebook,4824.04,25841
2023-06-17,App Notification,225.04,5797
2023-06-17,Google Ads,8664.23,38538
2023-06-17,Instagram,3076.64,14907
2023-06-18,SMS,2754.62,30721
2023-06-18,Email,407.23,9216
2023-06-18,Facebook,3005.49,12873
2023-06-18,App Notification,118.85,3216
2023-06-18,Google Ads,5871.69,21696
2023-06-18,Instagram,5187.5,28049
2023-06-19,SMS,2736.19,24814
2023-06-19,Email,584.48,11092
2023-06-19,Facebook,4051.92,14910
2023-06-19,App Notification,117.24,3069
2023-06-19,Google Ads,7241.87,32560
2023-06-19,Instagram,2677.49,17686
2023-06-20,SMS,1476.43,13084
2023-06-20,Email,697.49,14048
2023-06-20,Facebook,6208.02,23336
2023-06-20,App Notification,137.49,3800
2023-06-20,Google Ads,8451.43,34482
2023-06-20,Instagram,5968.22,39835
2023-06-21,SMS,2949.36,32336
2023-06-21,Email,545.47,10113
2023-06-21,Facebook,3936.8,14385
2023-06-21,App Notification,188.38,3791
2023-06-21,Google Ads,6844.74,19355
2023-06-21,Instagram,4742.89,26365
2023-06-22,SMS,1966.86,22266
2023-06-22,Email,256.12,6235
2023-06-22,Facebook,4676.25,25723
2023-06-22,App Notification,273.18,7260
2023-06-22,Google Ads,8613.07,32380
2023-06-22,Instagram,2806.19,13594
2023-06-23,SMS,1010.62,8881
2023-06-23,Email,766.39,16639
2023-06-23,Facebook,5080.03,18482
2023-06-23,App Notification,399.37,10835
2023-06-23,Google Ads,4249.77,16590
2023-06-23,Instagram,4494.38,24123
2023-06-24,SMS,1442.17,17196
2023-06-24,Email,757.87,13530
2023-06-24,Facebook,5799.51,25602
2023-06-24,App Notification,245.09,7111
2023-06-24,Google Ads,6403.1,26737
2023-06-24,Instagram,2867.46,14665
2023-06-25,SMS,2605.47,24310
2023-06-25,Email,247.3,5049
2023-06-25,Facebook,6374.95,30916
2023-06-25,App Notification,262.77,6231
2023-06-25,Google Ads,7691.84,19664
2023-06-25,Instagram,2708.78,13351
2023-06-26,SMS,1978.65,19736
2023-06-26,Email,212.82,4845
2023-06-26,Facebook,3401.65,16898
2023-06-26,App Notification,379.29,9431
2023-06-26,Google Ads,5315.35,15005
2023-06-26,Instagram,5298.11,30615
2023-06-27,SMS,1212.44,11276
2023-06-27,Email,278.3,6734
2023-06-27,Facebook,6077.91,31354
2023-06-27,App Notification,136.62,4001
2023-06-27,Google Ads,7093.4,21886
2023-06-27,Instagram,2633.93,15972
2023-06-28,SMS,1919.45,19750
2023-06-28,Email,316.25,4867
2023-06-28,Facebook,5016.72,21021
2023-06-28,App Notification,382.99,10513
2023-06-28,Google Ads,8346.53,24123
2023-06-28,Instagram,2874.05,20776
2023-06-29,SMS,2816.54,31420
2023-06-29,Email,324.65,7956
2023-06-29,Facebook,4863.62,22490
2023-06-29,App Notification,188.4,3813
2023-06-29,Google Ads,7873.69,24664
2023-06-29,Instagram,4291.71,20951
2023-06-30,SMS,2947.63,25839
2023-06-30,Email,522.83,12932
2023-06-30,Facebook,4117.83,20049
2023-06-30,App Notification,300.91,7312
2023-06-30,Google Ads,7074.02,23195
2023-06-30,Instagram,5471.68,29860
2023-07-01,SMS,2631.02,22756
2023-07-01,Email,490.33,12211
2023-07-01,Facebook,6132.41,22185
2023-07-01,App Notification,361.91,7745
2023-07-01,Google Ads,6523.08,25287
2023-07-01,Instagram,5487.99,33367
2023-07-02,SMS,2353.68,19234
2023-07-02,Email,270.75,6100
2023-07-02,Facebook,3849.34,17350
2023-07-02,App Notification,197.03,5728
2023-07-02,Google Ads,7258.2,18765
2023-07-02,Instagram,2756.64,12701
2023-07-03,SMS,1505.53,15190
2023-07-03,Email,328.97,7708
2023-07-03,Facebook,3072.95,16240
2023-07-03,App Notification,160.49,4242
2023-07-03,Google Ads,7863.22,35364
2023-07-03,Instagram,4072.24,22533
2023-07-04,SMS,2610.36,31251
2023-07-04,Email,674.98,14929
2023-07-04,Facebook,3658.62,16793
2023-07-04,App Notification,234.4,5565
2023-07-04,Google Ads,8600.5,35833
2023-07-04,Instagram,3409.51,16788
2023-07-05,SMS,2598.38,22585
2023-07-05,Email,233.44,4024
2023-07-05,Facebook,6396.35,28932
2023-07-05,App Notification,153.97,3975
2023-07-05,Google Ads,6602.88,21249
2023-07-05,Instagram,5960.37,30311
2023-07-06,SMS,2466.3,20772
2023-07-06,Email,754.05,13293
2023-07-06,Facebook,3289.38,16108
2023-07-06,App Notification,369.31,7569
2023-07-06,Google Ads,6863.49,23203
2023-07-06,Instagram,5230.34,31996
2023-07-07,SMS,2506.13,26646
2023-07-07,Email,611.99,10616
2023-07-07,Facebook,4889.48,25057
2023-07-07,App Notification,149.09,3384
2023-07-07,Google Ads,6345.22,15882
2023-07-07,Instagram,5231.36,30768
2023-07-08,SMS,1992.81,22954
2023-07-08,Email,561.67,10790
2023-07-08,Facebook,5469.07,24217
2023-07-08,App Notification,166.2,3442
2023-07-08,Google Ads,4509.55,14933
2023-07-08,Instagram,3330.59,17481
2023-07-09,SMS,1062.35,9196
2023-07-09,Email,219.87,5051
2023-07-09,Facebook,5986.12,23256
2023-07-09,App Notification,102.0,2721
2023-07-09,Google Ads,7997.74,20653
2023-07-09,Instagram,3861.68,18039
2023-07-10,SMS,1048.48,8917
2023-07-10,Email,243.19,5874
2023-07-10,Facebook,6968.77,31054
2023-07-10,App Notification,110.9,2503
2023-07-10,Google Ads,5630.78,14439
2023-07-10,Instagram,3684.52,23729
2023-07-11,SMS,2263.18,22539
2023-07-11,Email,263.51,5135
2023-07-11,Facebook,6780.38,30970
2023-07-11,App Notification,385.65,10379
2023-07-11,Google Ads,6104.97,26793
2023-07-11,Instagram,3398.69,22229
2023-07-12,SMS,1825.52,17439
2023-07-12,Email,356.81,8453
2023-07-12,Facebook,3953.85,22106
2023-07-12,App Notification,323.41,9460
2023-07-12,Google Ads,7339.64,21126
2023-07-12,Instagram,5680.73,33230
2023-07-13,SMS,1476.46,14555
2023-07-13,Email,685.73,16459
2023-07-13,Facebook,6540.35,36094
2023-07-13,App Notification,338.28,9607
2023-07-13,Google Ads,8689.64,34061
2023-07-13,Instagram,5938.92,40188
2023-07-14,SMS,1581.99,18283
2023-07-14,Email,704.75,13648
2023-07-14,Facebook,4553.09,24868
